               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.055552,            0.021394,            0.012898,             0.69534,             0.18182,             0.23591,            0.094287,            0.038924,           0.0081921,            0.014255,            0.049901,           0.0049011,           0.0049011
                  56,            0.056296,            0.022933,            0.011043,             0.14524,             0.48485,             0.26333,            0.089293,            0.034899,           0.0084047,            0.014273,            0.048979,           0.0049791,           0.0049791
                  57,            0.050752,            0.017717,            0.012559,             0.82329,             0.25081,              0.3521,            0.094877,            0.040429,           0.0078287,            0.014224,            0.048057,           0.0050567,           0.0050567
                  58,             0.05822,            0.017562,            0.011328,             0.82001,             0.27273,             0.34668,             0.14382,            0.037143,           0.0079539,             0.01402,            0.047134,           0.0051339,           0.0051339
                  59,            0.051191,            0.016109,           0.0099875,             0.75176,             0.31818,             0.50441,             0.19109,             0.02932,           0.0082185,            0.014453,            0.046211,           0.0052108,           0.0052108
                  60,            0.053137,            0.015749,            0.017231,             0.88615,             0.31818,             0.51772,             0.19254,             0.03612,           0.0077524,            0.014771,            0.045287,           0.0052872,           0.0052872
                  61,            0.048952,            0.018045,            0.011679,             0.17689,             0.48485,             0.30579,             0.17258,            0.036319,           0.0077615,            0.014948,            0.044363,           0.0053632,           0.0053632
                  62,            0.052102,            0.019277,            0.011583,             0.42074,             0.48485,             0.46004,             0.19957,            0.036096,           0.0074897,            0.015012,            0.043439,           0.0054389,           0.0054389
                  63,            0.047807,            0.019047,             0.01048,             0.48834,             0.48485,             0.48919,             0.23285,            0.030194,           0.0076437,            0.015503,            0.042514,           0.0055141,           0.0055141
                  64,            0.050547,            0.021961,           0.0087124,             0.45764,             0.43939,             0.42214,             0.19155,            0.035275,           0.0071168,            0.016077,            0.041589,            0.005589,            0.005589
                  65,            0.049699,            0.021275,           0.0099514,             0.45806,             0.43939,             0.45567,             0.19515,              0.0315,           0.0071478,            0.015384,            0.040663,           0.0056635,           0.0056635
                  66,            0.053697,            0.017908,             0.01165,             0.40296,             0.43939,             0.46889,             0.20296,            0.037652,             0.00667,            0.015436,            0.039738,           0.0057375,           0.0057375
                  67,            0.051994,            0.015439,           0.0099112,             0.35649,             0.34848,             0.29761,              0.1369,            0.035269,           0.0065732,            0.016507,            0.038811,           0.0058112,           0.0058112
