               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.026747,           0.0075424,            0.011942,             0.70145,             0.77006,             0.73163,             0.49626,            0.014546,           0.0043795,            0.010901,           0.0081982,           0.0081982,           0.0081982
                  93,            0.023653,           0.0097791,           0.0048593,             0.74759,              0.7888,              0.7541,             0.47989,            0.017757,             0.00425,           0.0099686,           0.0081784,           0.0081784,           0.0081784
                  94,            0.025857,           0.0077034,           0.0085514,             0.74416,             0.83338,             0.79964,              0.5734,            0.015497,           0.0043211,           0.0096451,           0.0081586,           0.0081586,           0.0081586
                  95,            0.024105,            0.009935,             0.00575,             0.76849,             0.78458,             0.82438,             0.55217,            0.015807,           0.0037339,           0.0097183,           0.0081388,           0.0081388,           0.0081388
                  96,            0.027428,           0.0096034,           0.0044331,             0.77568,              0.8146,             0.80967,             0.55859,            0.015976,           0.0035574,           0.0087372,            0.008119,            0.008119,            0.008119
                  97,            0.025189,           0.0084281,           0.0035045,             0.73005,             0.81667,             0.83918,             0.59349,            0.015213,           0.0036075,           0.0089302,           0.0080992,           0.0080992,           0.0080992
                  98,            0.023792,           0.0081584,           0.0021082,             0.94003,             0.63673,             0.82736,             0.59672,             0.01458,           0.0035026,           0.0094955,           0.0080794,           0.0080794,           0.0080794
                  99,            0.021822,           0.0075594,           0.0034002,             0.91322,                0.65,             0.82608,             0.61005,            0.014099,           0.0034442,            0.010608,           0.0080596,           0.0080596,           0.0080596
                 100,            0.026544,           0.0087403,            0.003413,             0.69448,             0.92285,             0.85576,             0.62516,            0.014139,             0.00337,            0.010143,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027783,           0.0081333,           0.0043059,             0.69726,             0.92337,              0.8362,             0.58367,            0.018237,           0.0033422,            0.010532,             0.00802,             0.00802,             0.00802
                 102,            0.025574,           0.0077752,           0.0035515,             0.65004,             0.89523,              0.8165,             0.62241,            0.014133,           0.0032625,            0.011121,           0.0080002,           0.0080002,           0.0080002
                 103,            0.022009,           0.0082882,           0.0025385,             0.68243,             0.84111,             0.79707,             0.54889,            0.015516,           0.0040691,            0.011389,           0.0079804,           0.0079804,           0.0079804
                 104,            0.025893,           0.0081342,           0.0039377,             0.70586,             0.76413,             0.81571,             0.57302,            0.014854,           0.0035894,            0.012012,           0.0079606,           0.0079606,           0.0079606
                 105,            0.024522,           0.0086617,            0.002921,             0.72965,             0.75833,             0.78509,             0.57369,            0.014094,           0.0035574,            0.011688,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025376,           0.0077987,           0.0041639,             0.68698,             0.77609,             0.74779,             0.56026,            0.013726,           0.0034487,            0.011441,            0.007921,            0.007921,            0.007921
                 107,            0.025582,           0.0068195,           0.0021714,             0.69746,             0.73588,             0.75353,             0.58084,            0.016033,           0.0034053,            0.011453,           0.0079012,           0.0079012,           0.0079012
                 108,            0.026347,           0.0084774,           0.0026679,             0.69398,             0.85768,             0.77619,             0.58091,            0.015445,           0.0033245,            0.011511,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024057,           0.0068631,           0.0025567,             0.72275,              0.8478,             0.77896,             0.59812,            0.013654,           0.0032465,            0.010779,           0.0078616,           0.0078616,           0.0078616
                 110,            0.023072,           0.0080524,            0.003165,             0.68065,             0.90979,              0.7691,             0.57895,            0.014178,           0.0033972,            0.010477,           0.0078418,           0.0078418,           0.0078418
                 111,            0.024313,           0.0097492,           0.0032416,             0.66014,             0.84167,             0.74184,             0.54914,            0.015344,            0.003938,            0.011783,            0.007822,            0.007822,            0.007822
                 112,             0.02662,           0.0075115,           0.0019279,             0.72838,             0.86269,             0.74568,             0.46362,            0.019041,           0.0044398,            0.011856,           0.0078022,           0.0078022,           0.0078022
                 113,            0.027463,           0.0085928,            0.002116,             0.74158,             0.81244,             0.74858,             0.49249,            0.015603,           0.0047164,            0.011436,           0.0077824,           0.0077824,           0.0077824
